topicId,trackId,moduleId,title,profile,profileLabel,codeQuestionsInTopicQuiz,practicalQuestionsInTopicQuiz,topicQuizQuestionCount,rationale,packetPatchPath
JS-01,javascript,JS-M01,Course Orientation,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/javascript/js-m01-orientation-and-foundations/js-01-course-orientation.json
JS-02,javascript,JS-M01,Introduction to JavaScript,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/javascript/js-m01-orientation-and-foundations/js-02-introduction-to-javascript.json
JS-03,javascript,JS-M01,"Values, Data Types, and Boolean Logic",coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m01-orientation-and-foundations/js-03-values-data-types-and-boolean-logic.json
JS-04,javascript,JS-M01,"JavaScript Evolution: ES5, ES6+, and ESNext",conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/javascript/js-m01-orientation-and-foundations/js-04-javascript-evolution-es5-es6-and-esnext.json
JS-05,javascript,JS-M01,Functions Working Together,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m01-orientation-and-foundations/js-05-functions-working-together.json
JS-06,javascript,JS-M02,Learning to Code and Think Like a Developer,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/javascript/js-m02-developer-skills/js-06-learning-to-code-and-think-like-a-developer.json
JS-07,javascript,JS-M02,Debugging and AI-Assisted Development,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/javascript/js-m02-developer-skills/js-07-debugging-and-ai-assisted-development.json
JS-08,javascript,JS-M03,The DOM and DOM Manipulation,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m03-browser-and-dom-foundations/js-08-the-dom-and-dom-manipulation.json
JS-09,javascript,JS-M04,Runtime and Execution Model,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m04-how-javascript-works/js-09-runtime-and-execution-model.json
JS-10,javascript,JS-M04,"Scope, Scope Chain, Hoisting, and the TDZ",coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m04-how-javascript-works/js-10-scope-scope-chain-hoisting-and-the-tdz.json
JS-11,javascript,JS-M04,The `this` Keyword,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m04-how-javascript-works/js-11-the-this-keyword.json
JS-12,javascript,JS-M04,Memory Management and References,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m04-how-javascript-works/js-12-memory-management-and-references.json
JS-13,javascript,JS-M05,Choosing the Right Data Structure,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m05-data-structures-and-functional-techniques/js-13-choosing-the-right-data-structure.json
JS-14,javascript,JS-M05,First-Class and Higher-Order Functions,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m05-data-structures-and-functional-techniques/js-14-first-class-and-higher-order-functions.json
JS-15,javascript,JS-M05,Closures,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m05-data-structures-and-functional-techniques/js-15-closures.json
JS-16,javascript,JS-M05,Array Transformations and Method Selection,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m05-data-structures-and-functional-techniques/js-16-array-transformations-and-method-selection.json
JS-17,javascript,JS-M06,DOM Internals and Event Propagation,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m06-dom-internals-and-script-loading/js-17-dom-internals-and-event-propagation.json
